종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"432600","RISE 국채선물3년","55060","-105","-0.19","55039.81","55060","55080","55060","5","275330","5506000000","0","100000","국채선물지수","1214.79","-2.91","-0.24"
"397420","RISE 국채선물5년추종","50910","-190","-0.37","50900.55","50925","50925","50910","5","254605","5192820000","0","102000","5년 국채선물 추종 지수","991.16","-3.97","-0.40"
"0114X0","RISE 글로벌게임테크TOP3Plus","8115","-25","-0.31","8126.56","8280","8280","8025","1551","12562580","5680500000","0","700000","Solactive-KEDI 글로벌 게임 테크 TOP3 플러스 지수","4533.10","0.00","0.00"
"437370","RISE 글로벌농업경제","11600","-90","-0.77","11569.22","11685","11725","11600","30104","351538192","8700000000","0","750000","MVIS Global Agribusiness Index(Price Return)","3358.87","-12.71","-0.38"
"375270","RISE 글로벌데이터센터리츠(합성)","14630","-125","-0.85","14711.46","14700","14705","14630","213","3123362","9509500000","0","650000","Kelly Data Center & Tech Infrastructure Net Total Return Index","1753.55","0.00","0.00"
"475380","RISE 글로벌리얼티인컴","11390","-35","-0.31","11351.50","11520","11520","11315","6766","77048190","33031000000","0","2900000","Solactive Global Realty Income Index(Price Return)","3131.06","0.00","0.00"
"476310","RISE 글로벌비만산업TOP2+","9175","-35","-0.38","9299.91","9170","9175","9100","345","3161017","5046250000","0","550000","KEDI 글로벌 비만 산업 Top2+ 지수(Price Return)","3207.05","0.00","0.00"
"417450","RISE 글로벌수소경제","14750","160","1.10","14687.55","15115","15115","14585","6038","88773623","14750000000","0","1000000","Indxx Hydrogen Economy Index (PR)","3192.53","0.00","0.00"
"442320","RISE 글로벌원자력","45695","60","0.13","45830.98","45635","46190","45400","90423","4139696254","367387800000","0","8040000","iSelect 글로벌원자력 지수(시장가격)","6528.61","-32.03","-0.49"
"461490","RISE 글로벌자산배분액티브","14885","-115","-0.77","14892.01","14935","14935","14870","183735","2736696646","392964000000","0","26400000","Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격)","2050.76","-16.70","-0.81"
"459750","RISE 글로벌주식분산액티브","17000","-185","-1.08","17045.62","17360","17360","16965","11559","197448415","29750000000","0","1750000","Bloomberg Global Equity Market Weighted Index(Price Return)","2331.04","0.00","0.00"
"399580","RISE 글로벌클린에너지","10495","35","0.33","10570.71","10460","10675","10430","5941","62521455","10495000000","0","1000000","S&P Global Clean Energy Transition Index (Price Return)","1179.48","0.00","0.00"
"276650","RISE 글로벌테크놀로지(합성 H)","36830","-820","-2.18","36988.50","37170","37175","36830","6052","224844730","27622500000","0","750000","S&P Global 1200 Information Technology and Interactive Media & Services(PR)","3967.04","-19.09","-0.48"
"336160","RISE 금융채액티브","101390","-190","-0.19","101424.26","101475","101520","101375","749","75956275","41874070000","0","413000","KIS 종합채권금융채 2.5Y-3Y 지수 (총수익)","139.90","0.00","0.00"
"326230","RISE 내수주플러스","12005","-205","-1.68","12013.42","12055","12090","12000","75","902045","10804500000","0","900000","FnGuide 내수주플러스 지수","1650.98","-29.48","-1.75"
"367760","RISE 네트워크인프라","35915","-5","-0.01","35836.30","34770","36450","34645","555924","19915632167","213694250000","0","5950000","FnGuide 네트워크 인프라 지수","4962.06","-21.20","-0.43"
"272560","RISE 단기국공채액티브","113675","0","0.00","113673.59","113680","113690","113675","12828","1458314099","217801300000","0","1916000","KIS 종합채권국공채3M~1.5Y지수","139.23","0.00","0.00"
"385550","RISE 단기채권알파액티브","112715","10","0.01","112722.50","112690","112715","112690","2567","289326545","302188915000","0","2681000","KIS 단기채권알파지수(AA-이상)(총수익지수)","127.49","0.00","0.00"
"196230","RISE 단기통안채","115680","0","0.00","115706.20","115670","115695","115670","16924","1957923234","264791520000","0","2289000","KIS 통안채 5개월 지수(총수익)","13130.71","0.78","0.01"
"0061Z0","RISE 단기특수은행채액티브","50340","10","0.02","50341.56","50340","50340","50335","11716","589782975","1449389280000","0","28792000","KAP 단기 특수은행채 지수(시장가격)","115.77","0.00","0.00"
"315960","RISE 대형고배당10TR","60040","-1980","-3.19","60013.06","59655","61210","59505","434475","26114495395","480320000000","0","8000000","WISE 대형고배당10 TR 지수","7107.44","-240.24","-3.27"
"0138D0","RISE 동학개미","14355","-295","-2.01","14319.40","14260","14525","14250","11004","157933926","12201750000","0","850000","FnGuide 동학개미 지수","4847.11","-115.36","-2.32"
"455890","RISE 머니마켓액티브","54680","5","0.01","54685.44","54680","54685","54680","393468","21515310341","2370049920000","0","43344000","KIS 시가평가 MMF 지수 (총수익지수)","119.86","0.00","0.00"
"401170","RISE 메타버스","7960","-275","-3.34","8017.29","7935","8090","7920","50721","403828890","97589600000","0","12260000","iSelect 메타버스 지수(시장가격지수)","1676.05","-46.68","-2.71"
"481340","RISE 미국30년국채액티브","10000","0","0.00","9971.85","10025","10025","9970","12239","122248090","27500000000","0","2750000","Bloomberg U.S Treasury 20+ Year Total Return Index","592.45","0.00","0.00"
"472870","RISE 미국30년국채엔화노출(합성 H)","7990","-30","-0.37","8019.57","8010","8010","7972","299274","2393212484","330786000000","0","41400000","KIS 미국채30년 엔화노출 지수(USD/JPY 헤지)(총수익지수)","7154.60","-81.35","-1.12"
"472830","RISE 미국30년국채커버드콜(합성)","9300","10","0.11","9309.85","9305","9320","9275","42792","397664275","60450000000","0","6500000","Bloomberg U.S. Treasury 20+ Year (TLT) 2% OTM Covered Call Index(TR)","961.57","0.00","0.00"
"485690","RISE 미국AI밸류체인TOP3Plus","17545","-235","-1.32","17728.08","17745","17745","17520","14866","261793776","71057250000","0","4050000","KEDI 미국 AI 밸류체인 TOP3 Plus 지수(Price Return)","7382.56","0.00","0.00"
"490590","RISE 미국AI밸류체인데일리고정커버드콜","13010","-125","-0.95","13059.87","13045","13045","12985","301545","3921868927","454049000000","0","34900000","KEDI 미국 AI밸류체인 90%참여+데일리옵션 프리미엄 지수(TR)","8268.56","0.00","0.00"
"0127R0","RISE 미국AI클라우드인프라","12110","-70","-0.57","12138.90","12135","12155","11890","15469","187078519","10293500000","0","850000","Akros 미국 AI 클라우드 인프라 지수(Price Return)","9032.61","0.00","0.00"
"495940","RISE 미국AI테크액티브","15960","175","1.11","15989.32","15730","15975","15730","18651","297265530","39900000000","0","2500000","Solactive US AI Tech Active Index PR","6059.84","0.00","0.00"
"379780","RISE 미국S&P500","21520","-190","-0.88","21560.47","21580","21580","21485","429288","9240814994","1364368000000","0","63400000","S&P 500","6624.70","0.00","0.00"
"453330","RISE 미국S&P500(H)","15710","-330","-2.06","15727.13","15720","15755","15670","21385","335952104","86405000000","0","5500000","S&P 500","6624.70","0.00","0.00"
"0138T0","RISE 미국S&P500데일리고정커버드콜","9630","-110","-1.13","9676.55","9655","9680","9630","24231","233843677","29371500000","0","3050000","S&P500 10% Daily Fixed Covered Call Index","333.45","0.00","0.00"
"0005C0","RISE 미국S&P500엔화노출(합성 H)","10645","-180","-1.66","10673.25","10650","10660","10630","3040","32344665","8516000000","0","800000","S&P500 Yen Hedged Index(PR)","2748.90","0.00","0.00"
"460660","RISE 미국S&P배당킹","11690","-140","-1.18","11706.26","11715","11715","11650","3920","45793023","19873000000","0","1700000","S&P Dividend Monarchs Index(Price Return)","1220.65","0.00","0.00"
"219390","RISE 미국S&P원유생산기업(합성 H)","7675","390","5.35","7717.18","7540","7720","7445","405806","3088439565","33770000000","0","4400000","S&P Oil & Gas Exploration & Production Select Industry Index(PR)","6656.82","0.00","0.00"
"0115C0","RISE 미국고배당다우존스TOP10","11535","-105","-0.90","11543.23","11595","11595","11495","20801","239557025","17302500000","0","1500000","Dow Jones U.S. High Dividend 10 Index","3988.06","0.00","0.00"
"354240","RISE 미국고정배당우선증권","11770","10","0.09","11798.52","11810","11810","11745","7594","89228107","14124000000","0","1200000","ICE BofAML Core Plus Fixed Rate Preferred Securities Index(PR)","76.60","0.00","0.00"
"368590","RISE 미국나스닥100","27025","-315","-1.15","27086.68","27090","27115","26975","176272","4760534040","1264770000000","0","46800000","NASDAQ 100","24425.09","0.00","0.00"
"437350","RISE 미국단기투자등급회사채액티브","13125","105","0.81","13143.42","13145","13165","13100","14556","191268815","28875000000","0","2200000","Bloomberg US Corporate 1-5 Years Total Return Index","267.11","0.00","0.00"
"455960","RISE 미국달러SOFR금리액티브(합성)","12855","80","0.63","12943.36","12945","12945","12855","1038","13391315","60032850000","0","4670000","KAP SOFR 지수","123.61","0.00","0.00"
"469530","RISE 미국달러선물인버스","8680","-85","-0.97","8650.71","8665","8685","8630","888","7702150","5555200000","0","640000","미국달러선물지수","1676.25","19.44","1.17"
"469060","RISE 미국반도체NYSE","24325","-270","-1.10","24417.80","24410","24515","24225","44631","1088778145","41352500000","0","1700000","NYSE Semicondoctor Index(Price Return)","1728.12","0.00","0.00"
"469050","RISE 미국반도체NYSE(H)","20525","-490","-2.33","20602.39","20545","20705","20470","35163","722647516","17446250000","0","850000","NYSE Semicondoctor Index(Price Return)","1728.12","0.00","0.00"
"491630","RISE 미국반도체인버스(합성 H)","10035","265","2.71","9984.73","10080","10080","9915","430","4286490","4515750000","0","450000","NYSE Semicondoctor Index(Price Return)","1728.12","0.00","0.00"
"490600","RISE 미국배당100데일리고정커버드콜","9340","-50","-0.53","9309.51","9380","9380","9290","181600","1692942963","104141000000","0","11150000","KEDI 미국 배당100 90%참여+데일리옵션 프리미엄 지수(총수익지수)","2286.61","0.00","0.00"
"0018Z0","RISE 미국양자컴퓨팅","15055","-155","-1.02","15068.23","15100","15100","15000","2303","34692786","15055000000","0","1000000","Solactive US Quantum Computing Technology Index PR","5568.38","0.00","0.00"
